,SellerG,Discretized_Price
4274,Jellis,2
4280,Nelson,2
4281,Nelson,4
4282,Nelson,2
4287,Nelson,5
4288,Nelson,5
4294,Chambers,5
4295,Woodards,1
4297,Nelson,1
4298,Jellis,2
4301,Jellis,5
4304,Chambers,5
4309,Jellis,5
4313,Nelson,5
4316,Collins,5
4318,Nelson,2
4321,Jellis,2
4322,Nelson,1
4323,Nelson,1
4326,Nelson,2
4332,Rendina,1
4335,Hodges,1
4340,Nelson,1
4342,Nelson,5
4343,Nelson,5
4345,Nelson,5
4346,Nelson,1
4348,Nelson,5
4354,Australian,5
4359,Rendina,1
4363,Woodards,1
4365,Nelson,1
4366,Nelson,5
4370,Nelson,1
4373,Nelson,5
4374,Jellis,1
4379,Nelson,5
4381,Naison,5
4382,Sweeney,1
4383,Village,5
4384,Village,5
4385,Sweeney,1
4386,Jas,5
4387,Sweeney,1
4388,Jellis,1
4389,Jas,1
4390,Burnham,1
4392,Jas,1
4394,Village,5
4395,Sweeney,1
4398,Jas,1
4400,Burnham,5
4403,Village,5
4405,Nelson,1
4406,Sweeney,1
4410,Sweeney,1
4411,hockingstuart,5
4412,Jas,1
4414,Burnham,5
4417,Biggin,1
4418,Village,1
4422,Jas,5
4423,Jas,1
4424,Gunn&Co,1
4425,Jas,1
4426,Rendina,1
4427,Sweeney,5
4428,Biggin,1
4430,Jas,1
4433,Sweeney,1
4435,hockingstuart,1
4439,Burnham,1
4440,Burnham,5
4447,Sweeney,1
4448,Jas,1
4450,Rendina,1
4451,Sweeney,1
4455,Jas,5
4456,Raine,1
4457,Jas,1
4458,Sweeney,1
4459,Sweeney,1
4464,Sweeney,1
4465,Jas,1
4467,Village,5
4468,C21,1
4470,Jas,1
4477,GL,5
4479,Burnham,1
4481,Burnham,1
4482,Jas,1
4484,Nelson,5
4490,Sweeney,1
4492,Greg,1
4493,Biggin,1
4496,Jas,1
4497,Village,2
4498,Village,1
4499,Ray,1
4500,hockingstuart,2
4504,Kay,4
4505,Abercromby's,3
4506,Marshall,2
4512,J,2
4513,Noel,1
4519,Marshall,2
4522,Jellis,2
4523,Jellis,2
4528,Fletchers,5
4530,Fletchers,4
4533,Marshall,4
4536,Marshall,4
4538,Jellis,4
4539,Jellis,1
4540,Fletchers,2
4544,Jellis,2
4545,Jellis,2
4552,RT,2
4553,Jellis,4
4556,Noel,1
4565,Marshall,2
4575,Marshall,2
4578,Marshall,4
4583,RT,1
4589,Jellis,2
4591,hockingstuart,1
4595,Jellis,4
4601,Jellis,2
4609,Jellis,1
4610,Marshall,2
4617,Jellis,1
4619,Fletchers,2
4628,Marshall,5
4630,Fletchers,5
4636,hockingstuart,1
4640,Noel,5
4645,Jellis,4
4646,Jellis,4
4648,RT,2
4655,Marshall,4
4667,Noel,2
4672,Marshall,4
4673,Marshall,3
4674,Marshall,4
4689,Marshall,2
4690,Marshall,4
4691,Jellis,2
4692,Kay,2
4695,Jellis,1
4696,RT,2
4698,Marshall,4
4701,Greg,4
4702,hockingstuart,2
4703,hockingstuart,1
4705,Buxton,2
4715,Marshall,4
4719,Marshall,2
4721,Kay,4
4724,RT,4
4731,Jellis,2
4734,Marshall,5
4735,Jellis,4
4740,Ray,1
4746,Walshe,1
4750,Barry,1
4758,Peter,1
4759,Stockdale,1
4761,Brad,5
4767,Jason,1
4770,Nelson,1
4777,Stockdale,1
4780,Raine,1
4788,Barry,1
4791,Brad,1
4793,Eview,1
4794,Barry,1
4798,Stockdale,1
4800,Stockdale,1
4804,Barry,1
4805,Eview,1
4808,Eview,1
4809,Nelson,1
4814,Melbourne,1
4815,YPA,1
4819,Raine,1
4821,Brad,1
4826,Brad,1
4829,Eview,1
4830,Raine,1
4839,YPA,1
4840,Barry,1
4848,Barry,1
4852,Barry,1
4856,Stockdale,1
4858,Stockdale,1
4860,Stockdale,1
4863,Stockdale,1
4865,Stockdale,1
4869,Stockdale,1
4871,Barry,5
4872,Barry,1
4875,Barry,1
4879,Stockdale,1
4880,YPA,1
4881,Barry,1
4891,Barry,5
4893,Stockdale,1
4897,Barry,1
4898,Stockdale,1
4899,Nelson,1
4901,Nelson,1
4903,Barry,1
4909,Ray,1
4910,Stockdale,1
4912,Barry,1
4913,Nelson,1
4914,Nelson,1
4917,Nelson,1
4919,Nelson,1
4921,Nelson,1
4922,Nelson,1
4924,Nelson,1
4927,Brad,1
4929,Nelson,1
4932,Nelson,1
4934,Nelson,1
4936,hockingstuart,1
4938,Brad,1
4939,Eview,1
4940,YPA,1
4941,Barry,5
4942,Holland,1
4950,Peter,1
4951,Barry,1
4952,YPA,1
4954,Barry,1
4955,Stockdale,1
4958,Stockdale,1
4959,Barry,1
4962,YPA,1
4963,Raine,1
4965,Eview,1
4967,Stockdale,1
4968,Stockdale,1
4971,Raine,1
4973,Stockdale,1
4976,Brad,1
4977,Stockdale,1
4983,Barry,1
4985,Nelson,1
4991,D'Aprano,1
4995,hockingstuart,5
4996,Ray,1
4997,Nick,4
4999,hockingstuart,4
5001,Hodges,2
5003,Marshall,2
5006,Ray,5
5007,Buxton,1
5012,Hodges,2
5021,hockingstuart,1
5022,RT,1
5023,hockingstuart,2
5028,hockingstuart,5
5031,Hodges,4
5032,Hodges,5
5034,hockingstuart,2
5036,Buxton,2
5046,Hodges,4
5050,Marshall,4
5056,Hodges,5
5058,Buxton,1
5061,Buxton,2
5067,Marshall,4
5070,RT,5
5074,Hodges,4
5077,Buxton,2
5086,hockingstuart,2
5087,hockingstuart,4
5091,Hodges,4
5094,Hodges,5
5097,Marshall,4
5099,Buxton,1
5104,Hodges,1
5105,Buxton,2
5112,Marshall,2
5114,RT,2
5120,hockingstuart,2
5126,Buxton,4
5128,hockingstuart,2
5135,Greg,1
5155,Buxton,5
5156,Hodges,5
5157,Buxton,1
5160,McGrath,5
5162,Hodges,1
5171,Buxton,5
5173,Buxton,5
5179,Jellis,2
5181,Jellis,4
5185,Woodards,1
5189,Marshall,5
5190,Marshall,1
5194,Jellis,1
5196,Noel,1
5203,Nelson,2
5210,Marshall,1
5211,RT,1
5213,Marshall,2
5217,Fletchers,1
5219,Woodards,1
5222,hockingstuart,1
5223,Marshall,5
5224,Nelson,5
5232,Jellis,1
5233,Kay,5
5237,Marshall,2
5241,hockingstuart,1
5243,Marshall,1
5252,Jellis,2
5254,Noel,1
5258,Marshall,2
5261,Jellis,1
5265,Jellis,4
5274,Biggin,1
5275,Kay,2
5276,Jellis,3
5278,Jellis,1
5279,hockingstuart,1
5282,Kay,2
5283,Marshall,3
5288,Jellis,1
5289,Jellis,2
5292,hockingstuart,1
5293,Jellis,2
5300,Jellis,1
5303,hockingstuart,2
5310,Jellis,1
5312,Kay,3
5313,Biggin,1
5315,Jellis,5
5316,hockingstuart,1
5317,LITTLE,1
5320,Noel,2
5323,Marshall,2
5326,Jellis,1
5329,Jellis,2
5335,Marshall,1
5336,Jellis,4
5340,Marshall,1
5345,Jellis,5
5346,RT,2
5349,Kay,1
5350,Kay,1
5351,Marshall,3
5353,Jellis,2
5354,Wood,1
5355,Jellis,1
5364,Fletchers,1
5372,Miles,1
5381,Love,5
5386,Barry,1
5388,Miles,1
5390,Nelson,1
5392,Ray,1
5393,William,5
5394,Miles,5
5396,Fletchers,1
5399,Haughton,1
5400,hockingstuart,5
5401,Miles,1
5408,Harcourts,1
5409,Miles,1
5410,Miles,5
5411,Miles,5
5412,Fletchers,1
5421,Miles,5
5422,hockingstuart,1
5426,Purplebricks,1
5428,Miles,1
5429,Barry,5
5430,Nelson,1
5432,Miles,5
5433,Barry,1
5436,Haughton,1
5437,William,1
5446,Miles,1
5447,Miles,1
5458,Barry,1
5459,Haughton,1
5463,Ray,1
5465,Miles,1
5466,hockingstuart,1
5467,Miles,1
5474,Ray,1
5475,Barry,1
5477,Ray,1
5478,Ray,5
5481,Miles,1
5487,Haughton,1
5495,Ray,1
5498,Woodards,2
5499,Ray,1
5501,Ray,5
5503,Ray,5
5504,Ray,1
5506,Woodards,5
5508,Ray,1
5509,Woodards,2
5510,Woodards,2
5512,Ray,2
5513,Woodards,1
5520,Ray,5
5521,Fletchers,1
5523,Ray,1
5527,Ray,5
5530,Buxton,5
5531,Buxton,5
5533,hockingstuart,1
5540,Miles,4
5546,Nelson,5
5547,Jellis,4
5548,Nelson,5
5552,Miles,1
5555,Miles,1
5556,Nelson,5
5559,Buckingham,5
5562,William,2
5563,Woodards,5
5566,Nelson,1
5569,Ray,5
5571,Nelson,2
5572,Miles,1
5584,Miles,2
5586,Miles,2
5587,Nelson,2
5593,Nelson,2
5596,Miles,2
5601,Miles,4
5603,Ray,1
5608,Nelson,5
5609,Nelson,5
5611,Jellis,1
5612,Nelson,5
5614,Barry,2
5617,Miles,5
5619,Miles,2
5620,Nelson,1
5623,Miles,2
5630,Barry,1
5635,Miles,4
5637,Nelson,1
5638,Barry,1
5653,Sweeney,1
5655,Brad,1
5656,Brad,1
5658,McDonald,1
5659,Brad,1
5660,Brad,1
5663,Nelson,1
5665,Barry,1
5666,Barry,1
5669,Nelson,5
5672,Nelson,1
5675,Barry,1
5677,Brad,5
5680,Nelson,1
5682,Nelson,1
5683,Nelson,1
5685,Harcourts,1
5687,Alexkarbon,1
5689,Nelson,5
5690,Rendina,1
5691,Barry,5
5693,Brad,5
5698,Nelson,5
5700,Barry,2
5702,Nelson,5
5709,Moonee,1
5710,Barry,5
5716,Nelson,1
5717,Barry,1
5720,Nelson,1
5727,Barry,1
5729,Barry,1
5731,Nelson,1
5732,Nelson,1
5734,HAR,1
5736,Moonee,1
5737,Bells,1
5738,Nelson,1
5743,Nelson,1
5745,Barry,5
5746,Nelson,1
5749,Nelson,1
5757,Nelson,1
5758,Nelson,1
5760,Nelson,1
5761,Moonee,1
5763,Nelson,5
5764,Rendina,5
5766,Nelson,2
5769,Pagan,1
5770,Alexkarbon,1
5775,Nelson,1
5779,Edward,5
5780,Edward,5
5781,Rendina,1
5785,Edward,5
5787,Nelson,5
5788,Woodards,5
5790,Greg,5
5791,Nelson,5
5792,Nelson,2
5795,Jellis,2
5796,Edward,1
5798,Nelson,1
5799,Nardella,1
5801,Pagan,1
5804,Edward,1
5807,Nelson,5
5808,Nelson,1
5812,Rendina,1
5817,Rendina,1
5818,Nelson,2
5820,Jellis,1
5821,Nelson,1
5822,Nelson,5
5823,Nelson,5
5824,Edward,5
5828,Edward,1
5830,Nelson,1
5832,Nelson,5
5835,Rendina,1
5836,Nelson,1
5838,Nelson,5
5845,Nelson,5
5847,Rendina,1
5848,Alexkarbon,1
5850,Rendina,1
5852,Rendina,1
5877,Nelson,1
5887,Marshall,5
5901,Jellis,4
5902,Nelson,5
5906,Kay,2
5911,Jellis,4
5915,Jellis,2
5918,Bekdon,2
5920,Jellis,2
5922,Walsh,4
5925,Marshall,4
5926,LITTLE,1
5930,Caine,3
5937,Jellis,3
5942,Nelson,1
5945,Abercromby's,2
5946,Fletchers,1
5948,RT,1
5949,Jellis,4
5954,Marshall,2
5955,Jellis,1
5965,Jellis,4
5966,RT,5
5967,Jellis,5
5970,Nelson,5
5971,Kay,2
5978,Jellis,2
5979,Marshall,4
5980,Marshall,4
5986,Jellis,4
5992,Kay,2
5996,Marshall,4
6001,Jellis,5
6005,Jellis,2
6009,Jellis,3
6012,Jellis,1
6022,Marshall,4
6025,Marshall,4
6029,Jellis,4
6030,Nelson,1
6032,Marshall,5
6033,Jellis,1
6037,Nelson,1
6038,Jellis,4
6047,Marshall,2
6048,hockingstuart,2
6049,Jellis,5
6051,Kay,2
6052,Jellis,4
6053,hockingstuart,4
6055,Marshall,4
6069,hockingstuart,1
6070,Kay,4
6074,Marshall,4
6076,Marshall,2
6078,Jellis,2
6082,Jellis,1
6083,Marshall,4
6091,hockingstuart,2
6093,Nelson,1
6097,Jellis,2
6104,Nelson,2
6110,Nelson,2
6111,Nelson,5
6114,Jellis,2
6118,Nelson,2
6122,Noel,5
6127,Nelson,5
6130,Fletchers,2
6150,Jas,1
6151,Burnham,1
6153,Rendina,1
6154,Burnham,1
6155,Jas,1
6159,Sweeney,1
6163,Jas,1
6167,Sweeney,1
6168,Sweeney/Advantage,1
6174,Nelson,1
6175,Biggin,1
6178,Sweeney,1
6179,Jas,1
6182,Biggin,1
6186,Burnham,1
6188,hockingstuart,1
6191,Biggin,1
6195,hockingstuart,1
6199,Biggin,5
6201,Sweeney,1
6212,Biggin,1
6217,Sweeney,1
6218,Jas,5
6219,Jas,1
6220,Biggin,1
6232,Jellis,2
6235,Jellis,4
6238,Marshall,4
6241,Jellis,2
6253,Marshall,1
6261,Kay,3
6262,Marshall,2
6266,Jellis,4
6270,hockingstuart,1
6271,hockingstuart,2
6272,Thomson,1
6285,Jellis,4
6286,Marshall,4
6290,Marshall,3
6295,J,5
6296,Marshall,3
6303,Jellis,2
6305,Marshall,4
6306,Marshall,1
6312,Marshall,4
6314,Marshall,2
6316,Marshall,2
6323,Gary,1
6333,Marshall,2
6334,Marshall,5
6343,Marshall,4
6344,Biggin,5
6347,Marshall,4
6349,Jellis,4
6357,Jellis,4
6359,Noel,1
6363,Marshall,5
6366,Marshall,2
6375,Jellis,5
6390,Jellis,5
6391,Marshall,3
6393,Thomson,1
6397,Fletchers,2
6400,Jellis,2
6410,Fletchers,2
6413,Jellis,5
6415,Marshall,2
6416,C21,2
6420,Jellis,5
6424,Jellis,5
6425,Jellis,5
6431,Marshall,2
6436,hockingstuart,1
6438,Jellis,1
6443,Jellis,2
6447,Jellis,2
6450,Besser,1
6452,hockingstuart,1
6456,hockingstuart,2
6464,Anderson,1
6465,Thomson,5
6466,hockingstuart,1
6477,Abercromby's,4
6478,Johnston,5
6485,Jellis,1
6486,Marshall,5
6489,Marshall,5
6492,Castran,1
6493,Stockdale,5
6496,hockingstuart,1
6497,Marshall,2
6498,Jellis,5
6500,RT,2
6509,Jellis,5
6510,Ray,2
6520,Jellis,1
6525,Burnham,5
6526,Biggin,1
6533,Biggin,1
6534,Biggin,1
6535,Biggin,1
6537,Raine,1
6539,Nelson,5
6540,Nelson,1
6542,Rendina,1
6547,Biggin,1
6549,Biggin,5
6550,Nelson,5
6551,Biggin,5
6566,Nelson,5
6567,Biggin,1
6572,Biggin,5
6576,Redina,1
6580,Clairmont,5
6583,Jas,1
6589,Nelson,2
6590,Trimson,1
6595,Raine,1
6596,Raine,1
6597,Nelson,1
6600,Trimson,1
6602,Nelson,1
6606,Rendina,1
6609,Brad,5
6610,Rendina,1
6611,Raine,5
6612,Maddison,5
6613,Sweeney,5
6614,Alexkarbon,1
6617,Jas,1
6620,Biggin,5
6623,Raine,5
6624,McDonald,1
6626,Biggin,1
6627,Jas,5
6629,Jas,5
6632,Biggin,5
6635,Jellis,5
6638,Biggin,1
6650,Galldon,1
6658,HAR,1
6664,MICM,1
6667,LITTLE,1
6671,Purplebricks,1
6675,Dingle,1
6676,Harcourts,1
6682,Greg,1
6683,Dingle,1
6685,LITTLE,1
6693,Greg,1
6694,LITTLE,1
6705,MICM,1
6708,Greg,1
6712,Greg,1
6716,Castran,1
6718,Greg,1
6722,Harcourts,1
6726,MICM,1
6740,hockingstuart,1
6743,Dingle,1
6750,Cayzer,4
6752,Cayzer,4
6754,hockingstuart,1
6762,Greg,1
6769,Marshall,4
6770,Marshall,5
6772,Marshall,2
6773,Greg,4
6775,Cayzer,2
6776,Marshall,2
6777,Greg,2
6779,Lindellas,5
6781,RW,1
6785,Fletchers,4
6788,Marshall,2
6797,Jellis,4
6800,Fletchers,5
6806,Kay,4
6811,Jellis,2
6813,Jellis,1
6816,Jellis,3
6820,Jellis,5
6824,Jellis,2
6827,hockingstuart,1
6828,Nelson,1
6831,Nelson,5
6832,Nelson,1
6833,Brad,2
6836,Nelson,2
6839,Nelson,5
6840,Nelson,2
6843,Hodges,5
6845,Brad,2
6846,Re,5
6847,Nelson,5
6851,Jellis,2
6853,Jellis,1
6854,Nelson,1
6855,Rendina,4
6856,Jellis,1
6857,Woodards,1
6858,Nelson,5
6861,Barry,2
6862,Nelson,5
6864,Rendina,5
6865,Nelson,5
6866,Brad,1
6867,Nelson,5
6869,Nelson,2
6871,Jellis,2
6872,Edward,1
6875,Brad,1
6877,Nelson,5
6878,Nelson,5
6881,Nelson,1
6884,Nelson,2
6886,Rendina,4
6889,Brad,2
6894,Brad,2
6895,Alexkarbon,2
6898,Brad,1
6900,Nelson,5
6907,Jellis,1
6908,Brad,5
6909,Brad,1
6911,Brad,5
6912,Brad,2
6913,Barry,5
6914,Jellis,1
6915,Nelson,1
6916,Raine,5
6917,Nelson,5
6920,Nelson,2
6928,Woodards,1
6929,Frank,2
6931,Nelson,5
6932,Barry,1
6936,Brad,2
6940,Nelson,1
6941,Brad,5
6945,Nelson,5
6951,Brad,1
6952,Nelson,1
6954,Buxton,5
6956,O'Brien,5
6957,Ray,1
6959,Woodards,5
6961,Woodards,1
6962,Buxton,2
6966,Buxton,5
6969,Buxton,5
6971,Buxton,1
6974,C21,5
6976,Buxton,5
6977,Buxton,5
6978,Hodges,5
6979,McGrath,2
6982,Buxton,5
6989,O'Brien,5
6990,Woodards,5
6991,Woodards,5
6992,Buxton,5
6993,Buxton/Find,1
6994,Ray,1
6995,Ray,5
6996,Ray,1
7003,hockingstuart,1
7005,Ray,5
7006,Buxton,5
7007,McGrath,5
7008,C21,5
7010,Ray,1
7011,Buxton,5
7013,Gary,5
7017,Ray,1
7018,Hodges,5
7020,Village,1
7021,Raine,5
7023,Village,5
7024,Williams,1
7031,Greg,1
7033,Williams,5
7034,Greg,1
7035,Village,5
7037,Williams,5
7039,Sweeney,5
7041,Williams,1
7042,Village,5
7043,Greg,2
7044,Greg,5
7052,Village,5
7057,Jas,1
7058,Greg,5
7060,Williams,1
7064,Williams,1
7070,Williams,2
7071,Village,5
7072,Village,5
7073,Sweeney,5
7076,RT,1
7077,Greg,5
7078,Williams,1
7080,Williams,1
7081,Jas,5
7082,Raine,5
7084,Greg,5
7089,Greg,5
7091,hockingstuart,5
7093,RT,5
7094,Williams,1
7096,Greg,1
7098,Williams,5
7100,Raine&Horne,1
7102,Sweeney,5
7105,RT,1
7106,RT,1
7108,Gunn&Co,1
7112,Jas,1
7114,RT,5
7116,Williams,5
7121,Greg,5
7123,Williams,5
7125,Sweeney,1
7130,RT,1
7131,Jas,5
7132,Greg,1
7133,Williams,1
7134,Jas,5
7135,Greg,5
7136,Barry,1
7143,Brad,5
7144,Brad,5
7145,Brad,1
7146,Barry,1
7148,Frank,1
7150,Barry,5
7151,Nelson,1
7158,Brad,5
7162,Barry,1
7164,Nelson,1
7171,Barry,1
7174,Nelson,2
7175,Nelson,5
7183,Barry,5
7192,McDonald,5
7198,Brad,5
7203,Nelson,4
7206,Jellis,1
7208,Jellis,1
7209,W.B.,5
7210,Jellis,5
7211,Jellis,1
7212,Woodards,1
7216,Jellis,1
7217,Jellis,1
7219,W.B.,1
7222,MICM,1
7225,W.B.,1
7229,Nelson,5
7230,Jellis,1
7232,W.B.,1
7233,Nelson,2
7235,Nelson,5
7238,Nelson,1
7239,Jellis,1
7240,Jellis,2
7244,Jellis,5
7245,Jellis,5
7246,LITTLE,1
7253,Alexkarbon,1
7256,Jellis,1
7258,Alexkarbon,1
7259,Jellis,1
7260,Jellis,1
7261,W.B.,1
7262,Nelson,5
7263,Alexkarbon,1
7266,Jellis,5
7269,Woodards,1
7271,McGrath,5
7272,Nelson,5
7273,Nelson,2
7275,Jellis,2
7284,Collins,2
7288,Nelson,2
7291,Nelson,1
7295,Nelson,1
7299,hockingstuart,2
7300,McGrath,2
7301,Purplebricks,5
7303,Jellis,2
7307,Nelson,5
7309,Nelson,5
7311,Nelson,1
7312,McGrath,1
7314,Love,1
7319,McGrath,1
7338,Nelson,5
7340,Love,5
7343,Nelson,4
7345,Harcourts,1
7348,hockingstuart,5
7351,hockingstuart,4
7352,Jellis,5
7356,Nelson,5
7357,Nelson,5
7361,hockingstuart,2
7362,hockingstuart,5
7363,Nelson,5
7365,Barry,5
7368,Nelson,5
7369,Nelson,5
7370,Jellis,1
7372,Nelson,1
7377,Barry,1
7381,McGrath,4
7383,Barry,5
7386,Harrington,2
7388,Chambers,1
7389,Jellis,2
7392,hockingstuart,5
7393,Nelson,1
7394,Nelson,2
7399,Ray,5
7402,Barry,5
7404,Jellis,5
7408,Nelson,1
7411,Nelson,5
7421,Barry,5
7423,Nelson,2
7424,Jellis,2
7428,Nelson,1
7429,hockingstuart,2
7431,hockingstuart,2
7432,hockingstuart,2
7434,Harrington,5
7438,Woodards,1
7442,McGrath,5
7445,McGrath,4
7446,Nelson,2
7448,Jellis,5
7449,Nelson,2
7453,Jellis,2
7461,Brad,5
7464,hockingstuart,1
7469,Eview,1
7470,Ray,5
7473,Stockdale,1
7476,Brad,1
7481,Brad,1
7482,Nelson,5
7489,Barry,1
7494,Nelson,1
7497,Brad,1
7498,Stockdale,1
7500,Eview,1
7501,Nelson,1
7506,Barry,1
7507,Brad,1
7516,Eview,5
7518,Brad,5
7527,Buxton,5
7530,Woodards,1
7531,Ray,1
7538,Ray,5
7546,Ray,5
7551,Buxton,1
7554,hockingstuart,5
7555,Harcourts,2
7556,Buxton,1
7566,Woodards,5
7569,Buxton,5
7572,Buxton,5
7575,Ray,5
7579,Greg,5
7582,Buxton,5
7583,Ray,1
7584,Nelson,5
7588,Collins,2
7596,Collins,4
7601,Nelson,5
7607,Jellis,2
7608,Nelson,1
7609,Collins,4
7611,Nelson,2
7616,Brad,5
7617,Nelson,1
7622,Brad,5
7624,Brad,1
7626,Nelson,1
7630,Nelson,5
7632,Nelson,5
7633,Brad,1
7635,Jellis,1
7637,Nelson,1
7638,Brad,1
7640,Brad,1
7641,D'Aprano,1
7643,hockingstuart,1
7644,Raine,1
7648,Raine,1
7652,hockingstuart,1
7653,Brad,1
7657,Brad,1
7660,Nelson,5
7663,Brad,5
7668,Nelson,1
7669,Brad,1
7670,Nelson,1
7672,Brad,1
7673,Brad,1
7675,Nelson,1
7676,Nelson,5
7679,hockingstuart,1
7683,Nelson,1
7684,Barry,1
7686,Brad,5
7687,Nelson,5
7694,Eview,1
7695,D'Aprano,1
7697,hockingstuart,1
7698,hockingstuart,1
7707,Trimson,1
7709,Nelson,5
7716,Brad,1
7718,Nelson,1
7719,Ray,1
7722,Brad,1
7726,Brad,1
7727,Re,1
7729,Nelson,1
7734,hockingstuart,5
7735,Ray,5
7740,hockingstuart,1
7744,New,1
7748,Nelson,5
7749,Nelson,1
7750,hockingstuart,1
7755,Barry,2
7756,Considine,1
7758,Brad,1
7759,Brad,1
7760,Brad,5
7764,Nelson,1
7769,hockingstuart,1
7771,Ray,1
7782,Marshall,5
7783,Marshall,5
7785,Wilson,5
7787,Greg,4
7788,Cayzer,2
7789,Buxton,1
7793,Marshall,2
7796,Marshall,2
7797,Marshall,5
7798,Marshall,2
7799,Cayzer,1
7801,Greg,1
7802,Chisholm,5
7803,Greg,1
7804,Cayzer,1
7805,Marshall,1
7809,Cayzer,5
7814,Marshall,5
7815,Marshall,5
7816,Marshall,2
7821,Biggin,1
7824,RT,5
7826,Greg,2
7830,hockingstuart,5
7831,Kay,2
7834,Cayzer,5
7836,Greg,5
7840,Scott,5
7841,Chisholm,5
7842,Cayzer,1
7843,Frank,2
7847,Cayzer,5
7849,hockingstuart,4
7856,Greg,2
7859,RT,2
7863,Biggin,2
7870,Marshall,5
7874,Marshall,2
7876,Cayzer,1
7877,Jellis,1
7883,hockingstuart,1
7886,LITTLE,1
7887,RT,1
7888,Biggin,1
7901,Marshall,2
7902,Marshall,2
7904,Marshall,1
7912,Marshall,4
7919,Greg,3
7921,Frank,5
7923,hockingstuart,5
7925,Chisholm,1
7927,Greg,1
7928,Marshall,5
7935,Marshall,5
7937,Biggin,5
7945,hockingstuart,1
7947,hockingstuart,5
7948,Wilson,1
7949,hockingstuart,1
7954,hockingstuart,1
7957,Biggin,1
7960,hockingstuart,2
7962,hockingstuart,1
7964,Edward,1
7965,hockingstuart,1
7969,Marshall,5
7973,Marshall,5
7974,Beller,5
7977,Sotheby's,1
7985,Biggin,1
7986,Biggin,5
7989,Marshall,2
7991,Biggin,5
8002,hockingstuart,5
8013,Jellis,1
8021,Beller,2
8030,hockingstuart,1
8031,hockingstuart,1
8038,Dingle,1
8044,Beller,1
8050,Gary,5
8051,Marshall,2
8054,Jellis,2
8055,Biggin,2
8060,Jellis,5
8071,Marshall,2
8072,Marshall,5
8073,Marshall,2
8080,Geoff,1
8085,Jellis,5
8086,Marshall,5
8087,Marshall,4
8091,Jellis,2
8094,hockingstuart,5
8098,Jellis,2
8101,Harcourts,5
8103,Ray,5
8111,hockingstuart,1
8119,Barry,1
8121,Nelson,1
8125,Ray,5
8128,hockingstuart,1
8137,Barry,5
8140,hockingstuart,1
8141,hockingstuart,5
8147,hockingstuart,1
8149,hockingstuart,1
8158,Ray,1
8160,Nelson,1
8170,hockingstuart,2
8174,hockingstuart,1
8184,Nelson,1
8187,Nelson,5
8191,Nelson,1
8192,Barry,1
8193,Love,5
8194,Love,5
8200,Nelson,1
8202,Love,5
8204,Barry,1
8206,hockingstuart,5
8213,Harcourts,5
8218,Nelson,5
8219,Harcourts,5
8221,Jellis,2
8222,Harcourts,1
8223,Nelson,1
8224,Nelson,5
8225,Nelson,5
8232,Nelson,1
8235,Jellis,1
8237,Barry,1
8239,hockingstuart,5
8248,Nelson,1
8249,hockingstuart,5
8251,Barry,1
8257,hockingstuart,5
8259,Nelson,1
8260,Nelson,5
8266,Jellis,1
8268,Love,1
8269,Barry,5
8273,Ray,5
8274,Nelson,1
8276,Barry,5
8277,Nelson,1
8280,hockingstuart,5
8281,Love,5
8282,Nelson,5
8284,Ray,5
8289,Ray,5
8296,RW,5
8297,Nelson,5
8304,Harcourts,1
8305,Nelson,5
8308,hockingstuart,5
8310,Love,5
8311,Nelson,5
8315,hockingstuart,1
8317,hockingstuart,1
8318,Barry,1
8322,Ray,1
8328,Ray,1
8330,Barry,1
8333,Barry,1
8334,Ray,1
8335,Stockdale,1
8336,Nelson,1
8341,hockingstuart,5
8342,Nelson,1
8344,Barry,1
8349,Harcourts,5
8355,Ray,1
8359,Barry,1
8360,Barry,1
8362,Ray,1
8365,Barry,1
8366,Barry,1
8368,Nelson,1
8370,hockingstuart,1
8372,Barry,1
8378,Love,1
8379,hockingstuart,5
8380,Nelson,5
8382,McGrath,5
8384,Love,1
8390,Barry,5
8391,Ray,5
8395,Nelson,1
8397,Nelson,1
8399,Ray,1
8404,Ray,1
8405,Nelson,1
8406,Ray,1
8409,Barry,1
8410,Nelson,5
8416,Ray,1
8422,Darren,1
8424,Love,1
8427,Nelson,1
8434,Nelson,1
8435,Nelson,1
8436,Ray,1
8442,Barry,1
8445,Barry,1
8446,Harcourts,1
8447,Ray,1
8449,Nelson,1
8453,Ray,1
8459,Barry,1
8461,Love,1
8470,Barry,1
8472,Ray,1
8477,Stockdale,1
8481,hockingstuart,1
8482,Ray,1
8492,Ray,1
8499,Ray,1
8500,Nelson,1
8501,Ray,1
8502,Nelson,1
8505,Nelson,1
8507,Nelson,1
8509,hockingstuart,1
8513,Fletchers,1
8516,Ray,1
8518,Nelson,1
8528,Ray,1
8529,Barry,1
8530,hockingstuart,1
8531,Barry,1
8540,Ray,1
8544,Love,1
8548,Love,1
8551,Nelson,1
8553,Barry,1
8557,Nelson,1
8563,Nelson,1
8566,RW,5
8571,Barry,1
8573,Barry,5
8574,Ray,1
8575,hockingstuart,1
8578,hockingstuart,1
8580,Nelson,5
8584,hockingstuart,1
8585,Stockdale,1
8587,Love,1
8588,Love,1
8591,Barry,1
8592,Barry,1
8619,Brad,1
8620,Brad,1
8624,Love,1
8627,Purplebricks,1
8630,Barry,1
8635,Love,1
8641,Love,1
8642,Love,1
8643,hockingstuart,5
